,out_tx,in_tx,out_value,in_value,unique_receivers,unique_senders
16063003,0.0,0.0,0.0,0.0,0.0,0.0
16063002,0.0,0.0,0.0,0.0,0.0,0.0
16063001,0.0,0.0,0.0,0.0,0.0,0.0
16063000,0.0,0.0,0.0,0.0,0.0,0.0
16062999,0.0,0.0,0.0,0.0,0.0,0.0
16062998,0.0,0.0,0.0,0.0,0.0,0.0
16062997,0.0,0.0,0.0,0.0,0.0,0.0
16062996,0.0,0.0,0.0,0.0,0.0,0.0
16062995,0.0,0.0,0.0,0.0,0.0,0.0
16062994,0.0,0.0,0.0,0.0,0.0,0.0
16062993,0.0,0.0,0.0,0.0,0.0,0.0
16062992,0.0,0.0,0.0,0.0,0.0,0.0
16062991,0.0,0.0,0.0,0.0,0.0,0.0
16062990,0.0,0.0,0.0,0.0,0.0,0.0
16062989,0.0,0.0,0.0,0.0,0.0,0.0
16062988,0.0,0.0,0.0,0.0,0.0,0.0
16062987,0.0,0.0,0.0,0.0,0.0,0.0
16062986,0.0,0.0,0.0,0.0,0.0,0.0
16062985,0.0,0.0,0.0,0.0,0.0,0.0
16062984,0.0,0.0,0.0,0.0,0.0,0.0
16062983,0.0,0.0,0.0,0.0,0.0,0.0
16062982,0.0,0.0,0.0,0.0,0.0,0.0
16062981,0.0,0.0,0.0,0.0,0.0,0.0
16062980,0.0,0.0,0.0,0.0,0.0,0.0
16062979,0.0,0.0,0.0,0.0,0.0,0.0
16062978,0.0,0.0,0.0,0.0,0.0,0.0
16062977,0.0,0.0,0.0,0.0,0.0,0.0
16062976,0.0,0.0,0.0,0.0,0.0,0.0
16062975,0.0,0.0,0.0,0.0,0.0,0.0
16062974,0.0,0.0,0.0,0.0,0.0,0.0
16062973,0.0,0.0,0.0,0.0,0.0,0.0
16062972,0.0,0.0,0.0,0.0,0.0,0.0
16062971,0.0,0.0,0.0,0.0,0.0,0.0
16062970,0.0,0.0,0.0,0.0,0.0,0.0
16062969,0.0,0.0,0.0,0.0,0.0,0.0
16062968,0.0,0.0,0.0,0.0,0.0,0.0
16062967,0.0,0.0,0.0,0.0,0.0,0.0
16062966,0.0,0.0,0.0,0.0,0.0,0.0
16062965,0.0,0.0,0.0,0.0,0.0,0.0
16062964,0.0,0.0,0.0,0.0,0.0,0.0
16062963,0.0,0.0,0.0,0.0,0.0,0.0
16062962,0.0,0.0,0.0,0.0,0.0,0.0
16062961,0.0,0.0,0.0,0.0,0.0,0.0
16062960,0.0,0.0,0.0,0.0,0.0,0.0
16062959,0.0,0.0,0.0,0.0,0.0,0.0
16062958,0.0,0.0,0.0,0.0,0.0,0.0
16062957,0.0,0.0,0.0,0.0,0.0,0.0
16062956,0.0,0.0,0.0,0.0,0.0,0.0
16062955,0.0,0.0,0.0,0.0,0.0,0.0
16062954,0.0,0.0,0.0,0.0,0.0,0.0
16062953,0.0,0.0,0.0,0.0,0.0,0.0
16062952,0.0,0.0,0.0,0.0,0.0,0.0
16062951,0.0,0.0,0.0,0.0,0.0,0.0
16062950,0.0,0.0,0.0,0.0,0.0,0.0
16062949,0.0,0.0,0.0,0.0,0.0,0.0
16062948,0.0,0.0,0.0,0.0,0.0,0.0
16062947,0.0,0.0,0.0,0.0,0.0,0.0
16062946,0.0,0.0,0.0,0.0,0.0,0.0
16062945,0.0,0.0,0.0,0.0,0.0,0.0
16062944,0.0,0.0,0.0,0.0,0.0,0.0
16062943,0.0,0.0,0.0,0.0,0.0,0.0
16062942,0.0,0.0,0.0,0.0,0.0,0.0
16062941,0.0,0.0,0.0,0.0,0.0,0.0
16062940,0.0,0.0,0.0,0.0,0.0,0.0
16062939,0.0,0.0,0.0,0.0,0.0,0.0
16062938,0.0,0.0,0.0,0.0,0.0,0.0
16062937,0.0,0.0,0.0,0.0,0.0,0.0
16062936,0.0,0.0,0.0,0.0,0.0,0.0
16062935,0.0,0.0,0.0,0.0,0.0,0.0
16062934,0.0,0.0,0.0,0.0,0.0,0.0
16062933,0.0,0.0,0.0,0.0,0.0,0.0
16062932,0.0,0.0,0.0,0.0,0.0,0.0
16062931,0.0,0.0,0.0,0.0,0.0,0.0
16062930,0.0,0.0,0.0,0.0,0.0,0.0
16062929,0.0,0.0,0.0,0.0,0.0,0.0
16062928,0.0,0.0,0.0,0.0,0.0,0.0
16062927,0.0,0.0,0.0,0.0,0.0,0.0
16062926,0.0,0.0,0.0,0.0,0.0,0.0
16062925,0.0,0.0,0.0,0.0,0.0,0.0
16062924,0.0,0.0,0.0,0.0,0.0,0.0
16062923,0.0,0.0,0.0,0.0,0.0,0.0
16062922,0.0,0.0,0.0,0.0,0.0,0.0
16062921,0.0,0.0,0.0,0.0,0.0,0.0
16062920,0.0,0.0,0.0,0.0,0.0,0.0
16062919,0.0,0.0,0.0,0.0,0.0,0.0
16062918,0.0,0.0,0.0,0.0,0.0,0.0
16062917,0.0,0.0,0.0,0.0,0.0,0.0
16062916,0.0,0.0,0.0,0.0,0.0,0.0
16062915,0.0,0.0,0.0,0.0,0.0,0.0
16062914,0.0,0.0,0.0,0.0,0.0,0.0
16062913,0.0,0.0,0.0,0.0,0.0,0.0
16062912,0.0,0.0,0.0,0.0,0.0,0.0
16062911,0.0,0.0,0.0,0.0,0.0,0.0
16062910,0.0,0.0,0.0,0.0,0.0,0.0
16062909,0.0,0.0,0.0,0.0,0.0,0.0
16062908,0.0,0.0,0.0,0.0,0.0,0.0
16062907,0.0,0.0,0.0,0.0,0.0,0.0
16062906,0.0,0.0,0.0,0.0,0.0,0.0
16062905,0.0,0.0,0.0,0.0,0.0,0.0
16062904,0.0,0.0,0.0,0.0,0.0,0.0
16062903,0.0,0.0,0.0,0.0,0.0,0.0
16062902,0.0,0.0,0.0,0.0,0.0,0.0
16062901,0.0,0.0,0.0,0.0,0.0,0.0
16062900,0.0,0.0,0.0,0.0,0.0,0.0
16062899,0.0,0.0,0.0,0.0,0.0,0.0
16062898,0.0,0.0,0.0,0.0,0.0,0.0
16062897,0.0,0.0,0.0,0.0,0.0,0.0
16062896,0.0,0.0,0.0,0.0,0.0,0.0
16062895,0.0,0.0,0.0,0.0,0.0,0.0
16062894,0.0,0.0,0.0,0.0,0.0,0.0
16062893,0.0,0.0,0.0,0.0,0.0,0.0
16062892,0.0,0.0,0.0,0.0,0.0,0.0
16062891,0.0,0.0,0.0,0.0,0.0,0.0
16062890,0.0,0.0,0.0,0.0,0.0,0.0
16062889,0.0,0.0,0.0,0.0,0.0,0.0
16062888,0.0,0.0,0.0,0.0,0.0,0.0
16062887,0.0,0.0,0.0,0.0,0.0,0.0
16062886,0.0,0.0,0.0,0.0,0.0,0.0
16062885,0.0,0.0,0.0,0.0,0.0,0.0
16062884,0.0,0.0,0.0,0.0,0.0,0.0
