,out_tx,in_tx,out_value,in_value,unique_receivers,unique_senders
16112959,0.0,0.0,0.0,0.0,0.0,0.0
16112958,0.0,0.0,0.0,0.0,0.0,0.0
16112957,0.0,0.0,0.0,0.0,0.0,0.0
16112956,0.0,0.0,0.0,0.0,0.0,0.0
16112955,0.0,0.0,0.0,0.0,0.0,0.0
16112954,0.0,0.0,0.0,0.0,0.0,0.0
16112953,0.0,0.0,0.0,0.0,0.0,0.0
16112952,0.0,0.0,0.0,0.0,0.0,0.0
16112951,0.0,0.0,0.0,0.0,0.0,0.0
16112950,0.0,0.0,0.0,0.0,0.0,0.0
16112949,0.0,0.0,0.0,0.0,0.0,0.0
16112948,0.0,0.0,0.0,0.0,0.0,0.0
16112947,0.0,0.0,0.0,0.0,0.0,0.0
16112946,0.0,0.0,0.0,0.0,0.0,0.0
16112945,0.0,0.0,0.0,0.0,0.0,0.0
16112944,0.0,0.0,0.0,0.0,0.0,0.0
16112943,0.0,0.0,0.0,0.0,0.0,0.0
16112942,0.0,0.0,0.0,0.0,0.0,0.0
16112941,0.0,0.0,0.0,0.0,0.0,0.0
16112940,0.0,0.0,0.0,0.0,0.0,0.0
16112939,0.0,0.0,0.0,0.0,0.0,0.0
16112938,0.0,0.0,0.0,0.0,0.0,0.0
16112937,0.0,0.0,0.0,0.0,0.0,0.0
16112936,0.0,0.0,0.0,0.0,0.0,0.0
16112935,0.0,0.0,0.0,0.0,0.0,0.0
16112934,0.0,0.0,0.0,0.0,0.0,0.0
16112933,0.0,0.0,0.0,0.0,0.0,0.0
16112932,0.0,0.0,0.0,0.0,0.0,0.0
16112931,0.0,0.0,0.0,0.0,0.0,0.0
16112930,0.0,0.0,0.0,0.0,0.0,0.0
16112929,0.0,0.0,0.0,0.0,0.0,0.0
16112928,0.0,0.0,0.0,0.0,0.0,0.0
16112927,0.0,0.0,0.0,0.0,0.0,0.0
16112926,0.0,0.0,0.0,0.0,0.0,0.0
16112925,0.0,0.0,0.0,0.0,0.0,0.0
16112924,0.0,0.0,0.0,0.0,0.0,0.0
16112923,0.0,0.0,0.0,0.0,0.0,0.0
16112922,0.0,0.0,0.0,0.0,0.0,0.0
16112921,0.0,0.0,0.0,0.0,0.0,0.0
16112920,0.0,0.0,0.0,0.0,0.0,0.0
16112919,0.0,0.0,0.0,0.0,0.0,0.0
16112918,0.0,0.0,0.0,0.0,0.0,0.0
16112917,0.0,0.0,0.0,0.0,0.0,0.0
16112916,0.0,0.0,0.0,0.0,0.0,0.0
16112915,0.0,0.0,0.0,0.0,0.0,0.0
16112914,0.0,0.0,0.0,0.0,0.0,0.0
16112913,0.0,0.0,0.0,0.0,0.0,0.0
16112912,0.0,0.0,0.0,0.0,0.0,0.0
16112911,0.0,0.0,0.0,0.0,0.0,0.0
16112910,0.0,0.0,0.0,0.0,0.0,0.0
16112909,0.0,0.0,0.0,0.0,0.0,0.0
16112908,0.0,0.0,0.0,0.0,0.0,0.0
16112907,0.0,0.0,0.0,0.0,0.0,0.0
16112906,0.0,0.0,0.0,0.0,0.0,0.0
16112905,0.0,0.0,0.0,0.0,0.0,0.0
16112904,0.0,0.0,0.0,0.0,0.0,0.0
16112903,0.0,0.0,0.0,0.0,0.0,0.0
16112902,0.0,0.0,0.0,0.0,0.0,0.0
16112901,0.0,0.0,0.0,0.0,0.0,0.0
16112900,0.0,0.0,0.0,0.0,0.0,0.0
16112899,0.0,0.0,0.0,0.0,0.0,0.0
16112898,0.0,0.0,0.0,0.0,0.0,0.0
16112897,0.0,0.0,0.0,0.0,0.0,0.0
16112896,0.0,0.0,0.0,0.0,0.0,0.0
16112895,0.0,0.0,0.0,0.0,0.0,0.0
16112894,0.0,0.0,0.0,0.0,0.0,0.0
16112893,0.0,0.0,0.0,0.0,0.0,0.0
16112892,0.0,0.0,0.0,0.0,0.0,0.0
16112891,0.0,0.0,0.0,0.0,0.0,0.0
16112890,0.0,0.0,0.0,0.0,0.0,0.0
16112889,0.0,0.0,0.0,0.0,0.0,0.0
16112888,0.0,0.0,0.0,0.0,0.0,0.0
16112887,0.0,0.0,0.0,0.0,0.0,0.0
16112886,0.0,0.0,0.0,0.0,0.0,0.0
16112885,0.0,0.0,0.0,0.0,0.0,0.0
16112884,0.0,0.0,0.0,0.0,0.0,0.0
16112883,0.0,0.0,0.0,0.0,0.0,0.0
16112882,0.0,0.0,0.0,0.0,0.0,0.0
16112881,0.0,0.0,0.0,0.0,0.0,0.0
16112880,0.0,0.0,0.0,0.0,0.0,0.0
16112879,0.0,0.0,0.0,0.0,0.0,0.0
16112878,0.0,0.0,0.0,0.0,0.0,0.0
16112877,0.0,0.0,0.0,0.0,0.0,0.0
16112876,0.0,0.0,0.0,0.0,0.0,0.0
16112875,0.0,0.0,0.0,0.0,0.0,0.0
16112874,0.0,0.0,0.0,0.0,0.0,0.0
16112873,0.0,0.0,0.0,0.0,0.0,0.0
16112872,0.0,0.0,0.0,0.0,0.0,0.0
16112871,0.0,0.0,0.0,0.0,0.0,0.0
16112870,0.0,0.0,0.0,0.0,0.0,0.0
16112869,0.0,0.0,0.0,0.0,0.0,0.0
16112868,0.0,0.0,0.0,0.0,0.0,0.0
16112867,0.0,0.0,0.0,0.0,0.0,0.0
16112866,0.0,0.0,0.0,0.0,0.0,0.0
16112865,0.0,0.0,0.0,0.0,0.0,0.0
16112864,0.0,0.0,0.0,0.0,0.0,0.0
16112863,0.0,0.0,0.0,0.0,0.0,0.0
16112862,0.0,0.0,0.0,0.0,0.0,0.0
16112861,0.0,0.0,0.0,0.0,0.0,0.0
16112860,0.0,0.0,0.0,0.0,0.0,0.0
16112859,0.0,0.0,0.0,0.0,0.0,0.0
16112858,0.0,0.0,0.0,0.0,0.0,0.0
16112857,0.0,0.0,0.0,0.0,0.0,0.0
16112856,0.0,0.0,0.0,0.0,0.0,0.0
16112855,0.0,0.0,0.0,0.0,0.0,0.0
16112854,0.0,0.0,0.0,0.0,0.0,0.0
16112853,0.0,0.0,0.0,0.0,0.0,0.0
16112852,0.0,0.0,0.0,0.0,0.0,0.0
16112851,0.0,0.0,0.0,0.0,0.0,0.0
16112850,0.0,0.0,0.0,0.0,0.0,0.0
16112849,0.0,0.0,0.0,0.0,0.0,0.0
16112848,0.0,0.0,0.0,0.0,0.0,0.0
16112847,0.0,0.0,0.0,0.0,0.0,0.0
16112846,0.0,0.0,0.0,0.0,0.0,0.0
16112845,0.0,0.0,0.0,0.0,0.0,0.0
16112844,0.0,0.0,0.0,0.0,0.0,0.0
16112843,0.0,0.0,0.0,0.0,0.0,0.0
16112842,0.0,0.0,0.0,0.0,0.0,0.0
16112841,0.0,0.0,0.0,0.0,0.0,0.0
16112840,0.0,0.0,0.0,0.0,0.0,0.0
16112839,0.0,0.0,0.0,0.0,0.0,0.0
16112838,0.0,0.0,0.0,0.0,0.0,0.0
16112837,0.0,0.0,0.0,0.0,0.0,0.0
16112836,0.0,0.0,0.0,0.0,0.0,0.0
16112835,0.0,0.0,0.0,0.0,0.0,0.0
16112834,0.0,0.0,0.0,0.0,0.0,0.0
16112833,0.0,0.0,0.0,0.0,0.0,0.0
16112832,0.0,0.0,0.0,0.0,0.0,0.0
16112831,0.0,0.0,0.0,0.0,0.0,0.0
16112830,0.0,0.0,0.0,0.0,0.0,0.0
16112829,0.0,0.0,0.0,0.0,0.0,0.0
16112828,0.0,0.0,0.0,0.0,0.0,0.0
16112827,0.0,0.0,0.0,0.0,0.0,0.0
16112826,0.0,0.0,0.0,0.0,0.0,0.0
16112825,0.0,0.0,0.0,0.0,0.0,0.0
16112824,0.0,0.0,0.0,0.0,0.0,0.0
16112823,0.0,0.0,0.0,0.0,0.0,0.0
16112822,0.0,0.0,0.0,0.0,0.0,0.0
16112821,0.0,0.0,0.0,0.0,0.0,0.0
16112820,0.0,0.0,0.0,0.0,0.0,0.0
16112819,0.0,0.0,0.0,0.0,0.0,0.0
16112818,0.0,0.0,0.0,0.0,0.0,0.0
16112817,0.0,0.0,0.0,0.0,0.0,0.0
16112816,0.0,0.0,0.0,0.0,0.0,0.0
16112815,0.0,0.0,0.0,0.0,0.0,0.0
16112814,0.0,0.0,0.0,0.0,0.0,0.0
16112813,0.0,0.0,0.0,0.0,0.0,0.0
16112812,0.0,0.0,0.0,0.0,0.0,0.0
16112811,0.0,0.0,0.0,0.0,0.0,0.0
16112810,0.0,0.0,0.0,0.0,0.0,0.0
16112809,0.0,0.0,0.0,0.0,0.0,0.0
16112808,0.0,0.0,0.0,0.0,0.0,0.0
16112807,0.0,0.0,0.0,0.0,0.0,0.0
16112806,0.0,0.0,0.0,0.0,0.0,0.0
16112805,0.0,0.0,0.0,0.0,0.0,0.0
16112804,0.0,0.0,0.0,0.0,0.0,0.0
16112803,0.0,0.0,0.0,0.0,0.0,0.0
16112802,0.0,0.0,0.0,0.0,0.0,0.0
16112801,0.0,0.0,0.0,0.0,0.0,0.0
16112800,0.0,0.0,0.0,0.0,0.0,0.0
16112799,0.0,0.0,0.0,0.0,0.0,0.0
16112798,0.0,0.0,0.0,0.0,0.0,0.0
16112797,0.0,0.0,0.0,0.0,0.0,0.0
16112796,0.0,0.0,0.0,0.0,0.0,0.0
16112795,0.0,0.0,0.0,0.0,0.0,0.0
16112794,0.0,0.0,0.0,0.0,0.0,0.0
16112793,0.0,0.0,0.0,0.0,0.0,0.0
16112792,0.0,0.0,0.0,0.0,0.0,0.0
16112791,0.0,0.0,0.0,0.0,0.0,0.0
16112790,0.0,0.0,0.0,0.0,0.0,0.0
16112789,0.0,0.0,0.0,0.0,0.0,0.0
16112788,0.0,0.0,0.0,0.0,0.0,0.0
16112787,0.0,0.0,0.0,0.0,0.0,0.0
16112786,0.0,0.0,0.0,0.0,0.0,0.0
16112785,0.0,0.0,0.0,0.0,0.0,0.0
16112784,0.0,0.0,0.0,0.0,0.0,0.0
16112783,0.0,0.0,0.0,0.0,0.0,0.0
16112782,0.0,0.0,0.0,0.0,0.0,0.0
16112781,0.0,0.0,0.0,0.0,0.0,0.0
16112780,0.0,0.0,0.0,0.0,0.0,0.0
16112779,0.0,0.0,0.0,0.0,0.0,0.0
16112778,0.0,0.0,0.0,0.0,0.0,0.0
16112777,0.0,0.0,0.0,0.0,0.0,0.0
16112776,0.0,0.0,0.0,0.0,0.0,0.0
16112775,0.0,0.0,0.0,0.0,0.0,0.0
16112774,0.0,0.0,0.0,0.0,0.0,0.0
16112773,0.0,0.0,0.0,0.0,0.0,0.0
16112772,0.0,0.0,0.0,0.0,0.0,0.0
16112771,0.0,0.0,0.0,0.0,0.0,0.0
16112770,0.0,0.0,0.0,0.0,0.0,0.0
16112769,0.0,0.0,0.0,0.0,0.0,0.0
16112768,0.0,0.0,0.0,0.0,0.0,0.0
16112767,0.0,0.0,0.0,0.0,0.0,0.0
16112766,0.0,0.0,0.0,0.0,0.0,0.0
16112765,0.0,0.0,0.0,0.0,0.0,0.0
16112764,0.0,0.0,0.0,0.0,0.0,0.0
16112763,0.0,0.0,0.0,0.0,0.0,0.0
16112762,0.0,0.0,0.0,0.0,0.0,0.0
16112761,0.0,0.0,0.0,0.0,0.0,0.0
16112760,0.0,0.0,0.0,0.0,0.0,0.0
16112759,0.0,0.0,0.0,0.0,0.0,0.0
16112758,0.0,0.0,0.0,0.0,0.0,0.0
16112757,0.0,0.0,0.0,0.0,0.0,0.0
16112756,0.0,0.0,0.0,0.0,0.0,0.0
16112755,0.0,0.0,0.0,0.0,0.0,0.0
16112754,0.0,0.0,0.0,0.0,0.0,0.0
16112753,0.0,0.0,0.0,0.0,0.0,0.0
16112752,0.0,0.0,0.0,0.0,0.0,0.0
16112751,0.0,0.0,0.0,0.0,0.0,0.0
16112750,0.0,0.0,0.0,0.0,0.0,0.0
16112749,0.0,0.0,0.0,0.0,0.0,0.0
16112748,0.0,0.0,0.0,0.0,0.0,0.0
16112747,0.0,0.0,0.0,0.0,0.0,0.0
16112746,0.0,0.0,0.0,0.0,0.0,0.0
16112745,0.0,0.0,0.0,0.0,0.0,0.0
16112744,0.0,0.0,0.0,0.0,0.0,0.0
16112743,0.0,0.0,0.0,0.0,0.0,0.0
16112742,0.0,0.0,0.0,0.0,0.0,0.0
16112741,0.0,0.0,0.0,0.0,0.0,0.0
16112740,0.0,0.0,0.0,0.0,0.0,0.0
16112739,0.0,0.0,0.0,0.0,0.0,0.0
16112738,0.0,0.0,0.0,0.0,0.0,0.0
