,Unnamed: 0,hash,nonce,transaction_index,from_address,to_address,value,gas,gas_price,input,receipt_cumulative_gas_used,receipt_gas_used,receipt_contract_address,receipt_root,receipt_status,block_timestamp,block_number,block_hash,max_fee_per_gas,max_priority_fee_per_gas,transaction_type,receipt_effective_gas_price
40104,40104,0x90633482e4f60bb6893b4f6ce70d7abf863970af6a86a0f3ec9fc612fdea7154,59,82,0x567302b63d86ad57aa2ad47b6b08511a92c425e9,0x30c53d45ca0cf73a7dc17cea4fa535937cf09980,5e+17,21000,10990020235,0x,4361872,21000,,,1,2022-11-27 17:32:59+00:00,16062838,0xf44e1006ca422ef4a10af4c4fc89b29eedd04d78d552f955b599257d1de14ad3,13469093800.0,1500000000.0,2,10990020235
41379,41379,0x2a7f534a3e98ee2a4071af981bc3d59b6b89173a5bd5f93141acf04026d3f2fd,109130,116,0x80c67432656d59144ceff962e8faf8926599bcf8,0xbe3c90d34b757587c62852dcd57f7c8e1bc5547c,6.308040000000003e+17,100000,9818623748,0x,8936218,21000,,,1,2022-11-27 17:30:59+00:00,16062828,0x97602fa63b034270ed5007cc516366f4017f24e7e103fae4ae266cd76493d03a,180000000000.0,1000000000.0,2,9818623748
41473,41473,0x867ff563fadd8d5e1f0e4bc360fad330ba2fb6d5c22936a017b5fac604e89742,49177,28,0xcc9557f04633d82fb6a1741dcec96986cd8689ae,0x65a791931cfda2f2d4fcfdc8922091eedb4bc1dc,4.565497858532e+17,21000,11743246797,0x,897015,21000,,,1,2022-11-27 17:30:47+00:00,16062827,0xddd5a0524d1e92d6dddce386bd4130462dd3383ccdd998a0c0692ad70e3fe18a,20415777832.0,2500000000.0,2,11743246797
41769,41769,0xa6a375d12528cdbb41689bca487fd271fab0eb6e3bcdddd4ddd5b32fd07658c1,5193547,49,0x28c6c06298d514db089934071355e5743bf21d60,0x33610cad9b284bec9c8c8304a14cfe52039b7538,2.9232e+16,207128,10957888916,0x,2039244,21000,,,1,2022-11-27 17:30:35+00:00,16062826,0xabaddabdda8710f5a23aeec8fc2ac9c2e1bb6124b8abeba61ad10e7da389b9ba,102000000000.0,2000000000.0,2,10957888916
42309,42309,0xd5c6235d5411b0d6e077fd79247e52b62fcdfe1d05e3cd8d4822f2291f49ba4a,7478,14,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840,0xd5c73624b32bf0898af26d1b4f040c8ceded9b81,2.2e+17,210000,32000000000,0x,1039124,21000,,,1,2022-11-27 17:29:47+00:00,16062822,0xe1655f69edcc24442d2dde0bd8bf35b4b2189c054b43c9484f36ea2181eb045f,,,0,32000000000
42382,42382,0xbb3544120f0580ccd15f554f6460e279a67c41386cc54b7d9b3d2b242e03d8f5,109127,85,0x80c67432656d59144ceff962e8faf8926599bcf8,0x780dce81ad181e2ef8f35561f17cefb77b5a0c5a,1.0196e+17,100000,11284236313,0x,6149701,21000,,,1,2022-11-27 17:29:35+00:00,16062821,0x8d8c046243febc95ab2b4da5dbde4f146a7f3a1745306ac4a099148d5bfab48d,180000000000.0,1000000000.0,2,11284236313
42457,42457,0x844bf79ca7dbee2407ff69fbf6437b81bb071e0af1fcfca38d1bc52fba2ecfaa,7477,4,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840,0x040d5a87ec7e675201e38846966d0afe3b1e07f9,1e+16,210000,32000000000,0x,334981,21000,,,1,2022-11-27 17:29:35+00:00,16062821,0x8d8c046243febc95ab2b4da5dbde4f146a7f3a1745306ac4a099148d5bfab48d,,,0,32000000000
42794,42794,0x04e97a6d01bcf0a9839d4a13e69745f34bb943bb150867573960867727aba1bd,49176,30,0xcc9557f04633d82fb6a1741dcec96986cd8689ae,0x2134438ee2b88d31085d4566c24161d7f7d54f32,4.26256054319304e+17,21000,12322045016,0x,2338936,21000,,,1,2022-11-27 17:28:59+00:00,16062818,0x44d3f850ff36f36279311432521220117e69a2aa05f98913ca3b093be1d44fd8,21840044706.0,2500000000.0,2,12322045016
43356,43356,0xf54bf313be5b79512c974cf64fc8842ba9c83c7d084b88f6ac7699ca176e4e0c,1,37,0x3988710c69530b9ace8ed7292ca2e0989e0085d9,0x5cf4fb4b0dc416d19aab13b804d2eae80bc14536,561833045790124.0,21000,13243990580,0x,3024277,21000,,,1,2022-11-27 17:28:11+00:00,16062814,0x01cf20983bfa0aba86633b3fa056033c072486132dd939cc3a5c5b49b4f80020,13243990580.0,13243990580.0,2,13243990580
44046,44046,0x028a81a11288b81e7521c1bfdc7308388d961e5cbdcff5ddf5b794850fbefd08,7469,12,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840,0x724d3aa8736184b258a633ab52c3f6e8ea2cc9c1,2.3e+17,210000,34500000000,0x,1094864,21000,,,1,2022-11-27 17:27:11+00:00,16062809,0x949fd8352df16f8b478214bc76d31229b850a17edf97b1f44a2984fc3c42e067,,,0,34500000000
50117,50117,0x1aeffa169df3baf0694a48ecb03ef41774ea96e8c66fb95bd5eb57f3a78aaccd,1926460,52,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,0x44291dfba28b9ab6f615bf1372fe1c4c09bf7a42,2.9232e+16,207128,20895385372,0x,4341991,21000,,,1,2022-11-27 17:18:11+00:00,16062766,0xeecc0bd4521af701e5e11738e4c51dc3f1d077472f1ffac4ebb169b174c5d082,102000000000.0,2000000000.0,2,20895385372
50137,50137,0xd795698b3a6fe3090b9a74dd15e3d6d1b0d3bf61a3d0c1f1c599245eea39f623,3855002,53,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xa28a0663fea536337e2ae59e1278b87cf10e9b2f,1.4232e+16,207128,20895385372,0x,4362991,21000,,,1,2022-11-27 17:18:11+00:00,16062766,0xeecc0bd4521af701e5e11738e4c51dc3f1d077472f1ffac4ebb169b174c5d082,102000000000.0,2000000000.0,2,20895385372
